iter	MultiRMSE
344	1.512552617
345	1.510491797
346	1.509786106
347	1.507500448
348	1.501129006
349	1.500410841
350	1.499073692
351	1.498066326
352	1.497350191
353	1.495815807
354	1.493267289
355	1.491638492
356	1.491041752
357	1.489925004
358	1.485992497
359	1.483787014
360	1.482355922
361	1.481066316
362	1.475322778
363	1.474707039
364	1.47405048
365	1.473427698
366	1.472285972
367	1.471512712
368	1.469627862
369	1.467821653
370	1.46575827
371	1.464765279
372	1.46171053
373	1.460498442
374	1.459934428
375	1.459662164
376	1.457202939
377	1.455914492
378	1.454865262
379	1.453959625
380	1.453087761
381	1.45161324
382	1.450427384
383	1.447377842
384	1.446804951
385	1.444976068
386	1.443682766
387	1.443203771
388	1.442691287
389	1.441057776
390	1.439906847
391	1.439022863
392	1.438206117
393	1.437237526
394	1.435769823
395	1.43335592
396	1.431356819
397	1.42964247
398	1.428275007
399	1.427731418
400	1.426538034
401	1.425245265
402	1.424300692
403	1.420884034
404	1.419245871
405	1.41728857
406	1.416412582
407	1.415543882
408	1.413594385
409	1.41280638
410	1.412261457
411	1.411444373
412	1.410106575
413	1.40844797
414	1.407837002
415	1.406334928
416	1.405714932
417	1.405371364
418	1.404846858
419	1.404301922
420	1.402429224
421	1.400779751
422	1.400285982
423	1.398131134
424	1.397512605
425	1.397126127
426	1.395599442
427	1.395224091
428	1.394231097
429	1.392911231
430	1.391524409
431	1.391329079
432	1.390210365
433	1.389515654
434	1.388751389
435	1.387963024
436	1.387189965
437	1.386167452
438	1.385423053
439	1.385221183
440	1.38226099
441	1.382171124
442	1.38060563
443	1.375261551
444	1.37415251
445	1.373233947
446	1.372271894
447	1.371565526
448	1.371260315
449	1.37027869
450	1.368525091
451	1.368377464
452	1.367039194
453	1.3665683
454	1.365617481
455	1.364181833
456	1.36368404
457	1.362702546
458	1.361796304
459	1.360020652
460	1.359335018
461	1.358647567
462	1.358185043
463	1.357065665
464	1.356202191
465	1.355298145
466	1.354989423
467	1.353895183
468	1.352977504
469	1.35258744
470	1.351568404
471	1.350807411
472	1.349381949
473	1.34820643
474	1.347937946
475	1.34682424
476	1.345506336
477	1.344519525
478	1.343690815
479	1.341106519
480	1.339418697
481	1.338415271
482	1.336927768
483	1.336686709
484	1.336309636
485	1.334994091
486	1.330065438
487	1.328140699
488	1.327085106
489	1.325866583
490	1.325252364
491	1.32504342
492	1.323839419
493	1.323230446
494	1.322286957
495	1.320910443
496	1.320703565
497	1.319652624
498	1.318184651
499	1.317304549
